,county,occupied_units,vacant_units,year,percent_occupied,total_units
73,"Guernsey County, Ohio",15913,3306,2011,0.8279827254279619,19219
74,"Hamilton County, Ohio",325766,52349,2011,0.861552702220224,378115
75,"Hancock County, Ohio",30425,2585,2011,0.9216903968494395,33010
76,"Hardin County, Ohio",11692,1434,2011,0.8907511808624105,13126
77,"Harrison County, Ohio",6298,1843,2011,0.7736150350079842,8141
78,"Henry County, Ohio",11110,845,2011,0.9293182768716018,11955
79,"Highland County, Ohio",16841,2446,2011,0.8731788251153627,19287
80,"Hocking County, Ohio",11491,1866,2011,0.8602979711012952,13357
81,"Holmes County, Ohio",12261,1347,2011,0.9010141093474426,13608
82,"Huron County, Ohio",22684,2468,2011,0.9018765903307888,25152
83,"Jackson County, Ohio",13252,1317,2011,0.909602580822294,14569
84,"Jefferson County, Ohio",28741,4151,2011,0.8737991000851271,32892
85,"Knox County, Ohio",22495,2502,2011,0.8999079889586751,24997
86,"Lake County, Ohio",94347,6475,2011,0.9357779056158378,100822
87,"Lawrence County, Ohio",24479,3165,2011,0.8855086094631747,27644
0,"Adams County, Ohio",10754,2113,2010,0.8357814564389524,12867
1,"Allen County, Ohio",40719,4370,2010,0.9030805739759143,45089
2,"Ashland County, Ohio",20040,2060,2010,0.9067873303167421,22100
3,"Ashtabula County, Ohio",38911,7143,2010,0.8448994658444435,46054
4,"Athens County, Ohio",22283,3833,2010,0.8532317353346608,26116
5,"Auglaize County, Ohio",18209,1301,2010,0.9333162480779088,19510
6,"Belmont County, Ohio",29004,3366,2010,0.8960148285449491,32370
7,"Brown County, Ohio",15997,2958,2010,0.8439461883408071,18955
8,"Butler County, Ohio",134287,12517,2010,0.9147366556769571,146804
9,"Carroll County, Ohio",11488,2135,2010,0.8432797474858695,13623
10,"Champaign County, Ohio",15161,1604,2010,0.9043244855353415,16765
11,"Clark County, Ohio",55145,6429,2010,0.8955890473251698,61574
12,"Clermont County, Ohio",72927,6872,2010,0.9138836326269753,79799
13,"Clinton County, Ohio",16323,1767,2010,0.9023217247097844,18090
14,"Columbiana County, Ohio",42162,5022,2010,0.8935656154628687,47184
15,"Coshocton County, Ohio",14582,1988,2010,0.88002414001207,16570
16,"Crawford County, Ohio",18105,2145,2010,0.894074074074074,20250
17,"Cuyahoga County, Ohio",538944,83693,2010,0.8655829961920027,622637
18,"Darke County, Ohio",20769,1885,2010,0.9167917365586651,22654
19,"Defiance County, Ohio",15232,1508,2010,0.9099163679808842,16740
20,"Delaware County, Ohio",61203,3134,2010,0.9512877504390942,64337
21,"Erie County, Ohio",31855,5953,2010,0.8425465509944985,37808
22,"Fairfield County, Ohio",53911,3965,2010,0.9314914645103325,57876
23,"Fayette County, Ohio",11597,1059,2010,0.9163242730720607,12656
24,"Franklin County, Ohio",457799,65782,2010,0.8743613691100326,523581
25,"Fulton County, Ohio",16345,1010,2010,0.9418035148372227,17355
26,"Gallia County, Ohio",12246,1640,2010,0.881895434250324,13886
27,"Geauga County, Ohio",34285,1980,2010,0.9454019026609679,36265
28,"Greene County, Ohio",61962,5417,2010,0.9196040309295181,67379
29,"Guernsey County, Ohio",16217,3074,2010,0.8406510808148878,19291
30,"Hamilton County, Ohio",327864,51050,2010,0.865272858748951,378914
31,"Hancock County, Ohio",30632,2209,2010,0.9327365183764197,32841
32,"Hardin County, Ohio",11768,1368,2010,0.8958587088915956,13136
33,"Harrison County, Ohio",6377,1760,2010,0.7837040678382696,8137
34,"Henry County, Ohio",11111,877,2010,0.9268435101768435,11988
35,"Highland County, Ohio",16638,2528,2010,0.8680997599916519,19166
36,"Hocking County, Ohio",11486,1786,2010,0.8654309825195902,13272
37,"Holmes County, Ohio",12120,1398,2010,0.8965823346648912,13518
38,"Huron County, Ohio",22972,2082,2010,0.9168994970862936,25054
39,"Jackson County, Ohio",13105,1483,2010,0.8983411022758432,14588
